stemming,sentiment_label
tolong baik order online via aplikasi starbucks masuk password internal server error wonder pas jam2 hari2 rame antri bngt,negative
asa password bener pas log coba klik lupa sandi tidakada email masuk tolong kasih referensi otapi wa,negative
halo admin aplikasi minggu akses keterantidaknnya overdue demand high skg log jutidak saldo min pakai order tolong bantu gimana makasih,negative
bad,negative
kode refal ima5b5a39,negative
ssudah minggu log,negative
can not load anything,negative
sign frustration login frustration app loading frustration top frustration payment frustration starbucks indonesias app dev team definitely 5star champ antiuser antipattern app architect,negative
henti produk dukung genosida still use killers,negative
can not join join button bugged cards basically useless,negative
bad app,negative
bikin program loyalty spending mio pas diredeem stok habis sure multimillion dollar company star thank wasting time,positive
tidakbisa sign hari whyyy,negative
applications performance subpar unable access account despite inputting correct credentials ongoing login issue persisted weeks despite multiple attempts uninstalling reinstalling application resulting improvement kindly request prompt resolution matterthanks,positive
appnya log,negative
member tidakbisa pencet option joinnya,negative
tolong baik app buruk nya sebal,negative
ssudah aplikasi habis sign verifikasi email masukmasuk rubbish,negative
mohon bantu ssudah berkali2 forgot password login,negative
coba login berkali2 uda install uninstall berkali2 jutidak pake aplikasi ios tolong baik,negative
logout gk login saldo coba sign berkalikali sampe uninstall install ulang tetep gk sign,negative
tidakbisa login tidakbisa forgot password trs gimana pakenya,negative
app recently open please fix asap,positive
udh download apk nya pas dinklik joint gk ya musti daftar lsng pas mo beli ya,negative
ngelag banget huhu,negative
overall bagus error kali,negative
sign tidaktidakl mulu,negative
lokasi nearby jakarta aplikasi eror,negative
app show store jakarta area,negative
ssudah kali kali coba register timer button sign tolong baik,negative
download coba sign login pakai kartu jutidak error store aplikasi krn gbs dipake males sbux layan turun bgt,negative
apps buka dentidakn alas due high demandmasa jam pagi buka apps nya jg notif please adminniat dikit apps bawa bawa kartu fisik order,positive
coba ulang ulang masuk masuk hadehhhhh kesel,negative
trying sign past year avail forever stuck loading upon hitting submit button,negative
link forget password nya expire mulu coba ulang tetep loading app kelas dah,negative
coba login info apa2 stuck login ssudah karna coba website laptop,negative
capek banget daritadi coba login salah mulu pdhl password udh bener trs pas forgot password tidakabisa,negative
top mandiri va nya ubah ubah keterantidakn dpt proses emosi muncul va,positive
due high demand request taking longer process expected please try atidakin later apologize inconvenience,negative
sampahhhh bgt login aja,negative
udh email sm sandi ko pas teken sign gbs ya ktnya invalid,negative
halaman login kalo copy paste muncul page abu abu tolong dibenerin aplikasi,negative
top apps update nomor hp hasil telah ngisi ulang nomor log otomatis heran appsnya bener2,positive
buka app nya tidakbisa buka liat reward susah trs lot banget semotidak cpt benerin,positive
tolong yah baik lg dri sign aja udh masalah tidakbisa masuk gede starbucks apps nya fungsi,negative
aplikasi bad tidakbisa login ntidakpain adain app kalo tidakbisa login password bener salah tidakada notifikasi kalo akun login hedeeeeh,negative
sign sinyal bagus,negative
buka starbucks id sign sign please fix,positive
join button inoperative guess starbucks doesnt want new customers,positive
ssudah isi data signup sign uperror aplikasi nya,negative
app keeps showing blank screen even reinstalling legit thought app taken longer service still advertise stores,negative
tolong baik ssudah aplikasi buka coba install ulang,negative
bugging mulu coba reinstal tidakbisa login bikin emosi kayak gin kalah aplikasi kopi2 lokal indonesi bener2 jauhhh bgt kualitas apliksinya parahhh tidakpunya budget gimana,negative
log,negative
login pasword salah ssudah bener forgot pasword jutidak masukin email email masuk gmna pake aplikasi,negative
pas sign sign detik apa2,negative
subject,negative
top app tombol update tutup keyboard tolong baik,positive
sign id passwordnya get sorry problem alert instead sign,negative
sign,negative
buka aplikasi muncul cuka due high semand bla bla bla yakalik tentidakh mlm jg bnyak minta akses aplikasi,negative
ssudah reinstall blm log mohon bantu baik,negative
kopi tidakenak kirain asin tidakram asin darah,negative
tolong gmana,negative
never fix problem worse loyalty app never rewards,positive
app starbucks indonesia iphone pro update nomor ponsel posisi keyboard menutupmenghalangi tombol update,negative
pakai kode referralastripf67aabdapat diskon 25k,negative
tidakbisa login,negative
login crash,negative
aplikasi bagus promo member terbaikk,negative
tolong baik kualitas starbucks tomang staff aware promo lupa menawarkanmengintidaktkan promo beda dentidakn cabang lainsaya beli minum cabang tomang cabang cabang tomang beli cabang laincabang tomang jutidak ssudah kotor renovasi internetnya jutidak buruk cabang tomang sinyal seluler provider buruk tamu akses jarintidakn wifi stabilorangorang kerja cabang tomang jutidak sitidakp cabang lelah kekurantidakn staff ya hire staff alas orang starbucks percaya kualitas minum seratidakm cabnag cabang,negative
deleted reinstalled sign inthis issue opened days still unable acces even contacting starbucks,negative
card thn app dgn saldo pisah skrg saldo tertidakbung amount jumlah dgn saldo salah kartuso wheres money,negative
jamming login refresh psw bikin sebel aja aplikasi userfriendly banget,negative
aplikasi cenderung lambat menu rewards,positive
appnya bs sign sekale saldo bs pakai top bs motong saldo pas beli bs tidakra2 punya ecard doank fisik trs saldo sana gmn donk,positive
create new delete directly,positive
semotidak cepat bangkrut,negative
want end membership however got email confirmation provide capture image id physical card ensure balance reward zero give id service bo longer needed suck,positive
sayang aplikasi batidaki bumi langit kualitas dentidakn nama starbucks,negative
ngebug iphone,negative
mahal aja menang brand,negative
