source,review_id,review_date,developer_response,review_description,rating,user_name,review_title,developer_response_date,thumbs_up,laguage_code,country_code
App Store,b516031e-aa43-4722-9f00-0f859e9e1d77,2023-07-01 09:15:27,"{'id': 37526026, 'body': 'Hi, Mohon maaf atas ketidaknyamanannya. Jika memiliki keluhan, silahkan mengirimkan informasi keluhan anda ke email kami customer.care@starbucks.co.id - Starbucks Indonesia-', 'modified': '2023-07-07T03:10:38Z'}",Tolong diperbaiki untuk order online Via aplikasi starbucks. Setiap setelah memasukkan password selalu “internal server error” no wonder pas jam2 dan hari2 rame antrinya panjang bngt,2,Takatiki90,Internal Server Error,,,id,id
App Store,38956518-e4f1-418c-a031-e287aef70b59,2023-03-07 18:18:44,"{'id': 35327591, 'body': 'Hi, Mohon maaf atas ketidaknyamanannya. Jika memiliki keluhan, silahkan mengirimkan informasi keluhan anda ke email kami customer.care@starbucks.co.id - Starbucks Indonesia-', 'modified': '2023-03-11T11:22:26Z'}","perasaan pswrd udah bener, pas log in coba aku klik lupa kata sandi tapi gaada email masuk sama sekali, tolong kasih referensi otp lewat wa",1,novitsrx,app eror,,,id,id
App Store,9b2b4724-fbc8-4992-a305-e491e2ca1cf6,2023-11-22 06:01:03,"{'id': 40335099, 'body': 'Hi, Mohon maaf atas ketidaknyamanannya. Untuk tampilan tersebut terkait dengan ketidakstabilan koneksi internet anda. Mohon dicoba mengunakan jaringan koneksi internet selular yang lebih baik dan hindari penggunaan VPN. Silahkan mencoba kembali proses Sign In.  - Starbucks Indonesia-', 'modified': '2023-11-25T08:32:09Z'}","Halo admin 
Kenapa aplikasinya sejak 2 minggu yang lalu tidak dapat diakses . Keterangannya overdue demand high. 
Sampai skg tetap gak bisa log in juga. Saya masih ada saldo min, mau dipakai order. Tolong dibantu ini gimana ? Makasih!",2,mantap93,Aplikasi tidak berjalan,,,id,id
App Store,c5a10e5f-dab0-4e31-b1d1-f6bca44bdb1d,2023-02-28 11:26:54,,very very bad🦶,1,maaboiiii,🦶,,,id,id
App Store,8ac64cb2-3322-4ff8-97f5-b26ebe22d1c6,2024-02-03 06:25:11,,Kode refal : IMA-5B5A39,5,Arik_12,Coffe terbaik,,,id,id
App Store,11516f70-1a70-4a07-9f82-ee7a672a713e,2023-11-12 08:04:59,"{'id': 40207612, 'body': 'Hi, Mohon maaf atas ketidaknyamanannya. Mohon mencoba kembali proses Sign In anda atau anda bisa melakukan reset password terlebih dulu. Jika masih berkendala, silahkan mengirimkan informasi keluhannya ke email kami customer.care@starbucks.co.id - Starbucks Indonesia-', 'modified': '2023-11-18T06:13:23Z'}",Sudah 1 minggu lebih tidak bisa log in,1,rhzphlv,Tidak bisa login,,,id,id
App Store,45dc486e-1f2c-4986-8e11-0b01dd9fbc2d,2023-03-06 02:27:36,,9 out of 10 cannot load anything… 😤,1,D00M42,Loading for ever,,,id,id
App Store,c065fbcf-4a68-451a-a96a-9c9a8774b17f,2023-02-23 09:52:18,,"Sign up: Frustration ⭐️
Login: Frustration ⭐️
App loading: Frustration ⭐️
Top up: Frustration ⭐️
Payment: Frustration ⭐️

Starbucks Indonesia’s app dev team is definitely the 5Star champ of anti-user and anti-pattern app architect.",1,Nifty7806,Frustration ⭐️⭐️⭐️⭐️⭐️,,,id,id
App Store,32f567f9-3dcc-46ad-9907-f70ed794bc35,2024-03-18 23:46:23,"{'id': 42763873, 'body': 'good things happen: www.starbucks.co.id 💚', 'modified': '2024-03-22T13:43:29Z'}",Berhenti menggunakan produk yang mendukung genosida! if you are still use it you are the same with the killers!,1,tttihgeerr,BOIKOT,,,id,id
App Store,f63f0181-096c-426a-b97b-83eaa7398087,2024-02-07 04:32:54,"{'id': 41867956, 'body': 'Hi, Really apologize for the inconvenience. If you still have any problem, please try to Sign Up your account on our website https://www.sbuxcard.com/register/index. If you still have any problem, please contact customer.care@starbucks.co.id for further assistance. - Starbucks Indonesia-', 'modified': '2024-02-10T03:57:28Z'}","Cannot join, join now button bugged? My card’s basically useless now",1,IgnAlbert,Cannot join,,,id,id
App Store,34f46ac7-66ff-4531-8bed-52188b0f7d9d,2024-05-03 18:17:48,,bad app,1,bts mdo,canot login,,,id,id
