review_description,translated_text
"Swear to God this app is made by amateurs. Their OTP verification is broken, won't send mine at all. Not to mention once in a blue moon it works and you get the OTP, the virtual keyboard will hide after a single press, then you have to re-focus on the input box to show it again, and this process repeats on every single digit needed!? What the hell is this.","Sumpah, aplikasi ini dibuat oleh para amatir. Verifikasi OTP mereka rusak, tidak akan mengirim saya sama sekali. Belum lagi sekali dalam bulan biru ia bekerja dan Anda mendapatkan OTP, keyboard virtual akan menyembunyikan setelah satu tekan, maka Anda harus fokus kembali pada kotak masukan untuk menunjukkannya lagi, dan proses ini berulang pada setiap digit tunggal yang dibutuhkan!? Apa-apaan ini."
"The idea of this app is great and its very useful for the customer. However, i often faced times where the app failed load, the latency is too long. Whenever im at the cashier, it takes a very long time to open the card page. Another thing, my card status is INACTIVE as default. I had to open and wait a long time whenever i wanna do a payment. Please help fixing these major issues as it happens in some friends accounts as well. Thankyou.","Gagasan tentang aplikasi ini sangat bagus dan sangat berguna bagi pelanggan. Namun, saya sering menghadapi saat-saat di mana aplikasi gagal beban, latensi terlalu panjang. Setiap kali aku di kasir, butuh waktu yang sangat lama untuk membuka halaman kartu. Hal lain, status kartu saya adalah INACTIF sebagai default. Aku harus membuka dan menunggu lama kapanpun aku ingin melakukan pembayaran. Tolong bantu memperbaiki masalah besar ini seperti yang terjadi di rekening beberapa teman juga. Terima kasih."
"After the last 2 updates this app became annoying. I cant checked last month transaction only the current month. The latest update just made it worse, everything extremely slow. I need to wait quite long time when i want to pay for my transaction as it kept loading the home page and i had to told the barista to wait until it opened!! And if i want to either check my balance or rewards or anything the loading time was so long. The connection wasnt the issue. As i can open any app easily.","Setelah 2 pemutakhiran terakhir aplikasi ini menjadi menjengkelkan. Aku tidak bisa memeriksa transaksi bulan lalu hanya bulan sekarang. Update terbaru hanya membuatnya lebih buruk, semuanya sangat lambat. Saya perlu menunggu cukup lama ketika saya ingin membayar untuk transaksi saya karena terus memuat halaman rumah dan saya harus memberitahu barista untuk menunggu sampai dibuka! Dan jika saya ingin baik memeriksa keseimbangan saya atau hadiah atau apa waktu loading begitu lama. Hubungan bukanlah masalahnya. Karena saya dapat membuka aplikasi apapun dengan mudah."
"The input pin is very annoying. Because when you type 1 digit the keyboard suddenly hidden, and you need to click the input again to show the virtual keyboard in your phone, and that happens on every column, so you type 6 pin plus clicking the 5 column = 11 steps. Everything is normal tho, I mean standard (in a good terms). I have experienced developing mobile apps, and the issue like this should be quite easy to fixed.","Pin inputnya sangat mengganggu. Karena ketika Anda mengetik 1 digit keyboard tiba-tiba tersembunyi, dan Anda perlu klik masukan lagi untuk menampilkan keyboard virtual di telepon Anda, dan itu terjadi pada setiap kolom, sehingga Anda mengetik 6 pin ditambah mengklik 5 kolom = 11 langkah. Semuanya normal, maksudku standar (dalam istilah yang baik). Saya telah mengalami pengembangan aplikasi ponsel, dan masalah seperti ini seharusnya cukup mudah untuk diperbaiki."
"The apps keeps kicking me out from the apps. Entering the passcode is very annoying. UI/UXers of this app. Don't you use this apps? Your apps keep asking me to tap each box to enter the passcode. If not being tapped manually, then the keyboard is missing. Can you make improvement where we can order through the apps and pick it up ourselves? It will reduce the chance of having error when already being in front of the cashier.","Aplikasi terus menendang saya keluar dari aplikasi. Memasuki passcode sangat mengganggu. UI/UXers dari aplikasi ini. Jangan Anda menggunakan aplikasi ini? Aplikasi Anda terus meminta saya untuk menekan setiap kotak untuk memasukkan passcode. Jika tidak disadap secara manual, maka keyboard hilang. Dapatkah Anda membuat perbaikan di mana kita dapat memesan melalui aplikasi dan mengambilnya sendiri? Ini akan mengurangi kesempatan memiliki kesalahan ketika sudah berada di depan kasir."
App sucks. No information regarding how many rewards will expired and slow most of times. It will directly deduct your reward stars without any reminder from both email or app. Only promo newsletter will send to you daily and it is quite annoying. Already called CS but no good feedback and just directly hung up my call. Bad services,App menyebalkan. Tidak ada informasi tentang berapa banyak imbalan akan berakhir dan lambat sebagian besar kali. Ini akan langsung mengurangi hadiah Anda bintang tanpa pengingat dari baik email atau aplikasi. Hanya surat kabar promo akan mengirimkan kepada Anda setiap hari dan itu cukup menjengkelkan. Sudah disebut CS tapi tidak ada umpan balik yang baik dan hanya langsung menutup panggilan saya. Layanan buruk
"This app is useful, but once logged out, can't login again ever 😅 can't choose forget password also, it keeps giving ""Sorry, it seems we have a problem"". I have been logged out for months. When I come here for app updates there isn't none either 😅","Aplikasi ini berguna, tetapi sekali keluar, tidak dapat login lagi tidak dapat memilih password lupa juga, itu terus memberikan ""Maaf, tampaknya kita memiliki masalah"". Aku sudah log out selama berbulan-bulan. Ketika saya datang ke sini untuk update aplikasi tidak ada baik"
"Traveling in Indonesia and my US Sbux doesn't work. Downloaded the Sbux ID app and can't even create new account. App doesn't do anything. Edited to add based on dev response: at no point was I even able to get past the first screen of the app. It did nothing at all. I could not create a new account nor log in using my US credentials. The app was hung and the ""create account"" button had no response at all.","Bepergian di Indonesia dan Sbux AS saya tidak bekerja. Mengunduh aplikasi ID Sbux dan bahkan tidak dapat membuat akun baru. App tidak melakukan apa-apa. Diedit untuk menambahkan berdasarkan respon dev: tidak ada titik saya bahkan bisa melewati layar pertama aplikasi. Itu tidak ada apa-apanya. Saya tidak bisa membuat akun baru atau log dalam menggunakan kredensial AS saya. Aplikasi digantung dan tombol ""membuat akun"" tidak merespon sama sekali."
"It was good, now it is just rubbish. From the impossible to remember password to the connection that is only running in wifi but not 4G. Reset the password is a nightmare and at the end i have been blocked for 30 minutes because exceeded the max attempt number, but it was the first! Every payment i must input my password, like i have 1 million dollars in my account. Very uncomfortable to use, I am very disappointed.","Itu bagus, sekarang itu hanya sampah. Dari yang mustahil untuk mengingat sandi ke koneksi yang hanya berjalan di wifi tetapi bukan 4G. Reset password adalah mimpi buruk dan di akhir saya telah diblokir selama 30 menit karena melampaui nomor maksimal, tapi itu adalah yang pertama! Setiap pembayaran saya harus memasukkan password saya, seperti saya memiliki 1 juta dolar dalam account saya. Sangat tidak nyaman untuk digunakan, saya sangat kecewa."
"I can't login! They ask me to relogin like once a month, it is okay. But today, I was asked to relogin, set tup new passcode, then notification about session expired is shown! And as you know, I need to repeat the sign in, checking email for OTP, and setup pascode again! And again, session expired. Was doing it for 3 times! And not successful. Finally I paid my drinks with other method.","Aku tidak bisa masuk! Mereka meminta saya untuk relogin seperti sebulan sekali, tidak apa-apa. Tapi hari ini, saya diminta untuk relogin, mengatur tup passcode baru, kemudian pemberitahuan tentang sesi berakhir ditampilkan! Dan seperti yang Anda tahu, saya perlu mengulangi tanda masuk, memeriksa email untuk OTP, dan setup pascode lagi! Dan lagi, sesi berakhir. Apakah melakukannya untuk 3 kali! Dan tidak berhasil. Akhirnya aku membayar minumanku dengan metode lain."
